district_code,no,pref_name,city_name,facility_name,facility_kana,facilty_en,address,facility_other_name,toilet_postion,lat,lng,count_male_total,count_male_urinal,count_male_jp_style,count_male_west_style,count_female_total,count_female_jp_style,count_female_west_style,count_all,count_jp_style_all,count_west_style_all,count_multifunctional,available_wheelchairl,available_baby,available_ostomate,available_from,available_to,available_time_info,image,image_licencce,remark
271004,"",大阪府,大阪市,長居公園　公衆トイレ５,ナガイコウエン　コウシュウトイレ５,"","","","",34.6147738,135.5263967,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,長居公園　公衆トイレ６,ナガイコウエン　コウシュウトイレ６,"","","","",34.6133052,135.5196924,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ１,オオサカジョウコウエン　コウシュウトイレ１,"","","","",34.6865957,135.5262627,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ２,オオサカジョウコウエン　コウシュウトイレ２,"","","","",34.6867671,135.5253949,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ３,オオサカジョウコウエン　コウシュウトイレ３,"","","","",34.6857293,135.5251011,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ４,オオサカジョウコウエン　コウシュウトイレ４,"","","","",34.6867671,135.5283081,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ５,オオサカジョウコウエン　コウシュウトイレ５,"","","","",34.6897228,135.5261899,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ６,オオサカジョウコウエン　コウシュウトイレ６,"","","","",34.6884025,135.5228758,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ７,オオサカジョウコウエン　コウシュウトイレ７,"","","","",34.6844746,135.5255243,"","","","","","","","","","","","","","","","","","","",""
271004,"",大阪府,大阪市,大阪城公園　公衆トイレ８,オオサカジョウコウエン　コウシュウトイレ８,"","","","",34.6856255,135.5215822,"","","","","","","","","","","","","","","","","","","",""
